7f000001:2328	95805:0	16	14871
7f000001:2328	95805:1	66481	6111
7f000001:2328	95805:2	23598	4370
7f000001:2328	95805:3	186223	14361
7f000001:2328	95805:4	37798	5943
7f000001:2328	95805:5	5663	33800
7f000001:2328	95805:6	115402	12030
7f000001:2328	95805:7	14077	5684
7f000001:2328	95805:8	10429	7811
7f000001:2328	95805:9	5460	32940
7f000001:2328	95805:10	38222	37216
7f000001:2328	95805:11	66783	1631
7f000001:2328	95805:12	38718	2808
7f000001:2328	95805:13	99215	12494
7f000001:2328	95805:14	31930	11956
7f000001:2328	95805:15	13294	247
7f000001:2328	95805:16	1164	100748
7f000001:2328	95805:17	123514	30820
7f000001:2328	95805:18	42293	29327
7f000001:2328	95805:19	48851	8438
7f000001:2328	95805:20	23550	6215
7f000001:2328	95805:21	21672	20485
7f000001:2328	95805:22	22610	1085
7f000001:2328	95805:23	37608	3432
7f000001:2328	95805:24	30240	7988
7f000001:2328	95805:25	10707	1338
7f000001:2328	95805:26	215350	15797
7f000001:2328	95805:27	4667	100120
7f000001:2328	95805:28	28434	24183
7f000001:2328	95805:29	10335	15692
7f000001:2328	95805:30	269410	4213
7f000001:2328	95805:31	57642	10195
7f000001:2328	95805:32	28898	27488
7f000001:2328	95805:33	9804	33297
7f000001:2328	95805:34	82020	2050
7f000001:2328	95805:35	1507	2876
7f000001:2328	95805:36	50727	9571
7f000001:2328	95805:37	14343	14133
7f000001:2328	95805:38	36819	2185
7f000001:2328	95805:39	205520	8572
7f000001:2328	95805:40	73121	6167
7f000001:2328	95805:41	54897	49330
7f000001:2328	95805:42	31403	11625
7f000001:2328	95805:43	127188	12596
7f000001:2328	95805:44	189117	7714
7f000001:2328	95805:45	79038	40126
7f000001:2328	95805:46	67864	16306
7f000001:2328	95805:47	87656	15152
7f000001:2328	95805:48	18364	8415
7f000001:2328	95805:49	18649	11832
7f000001:2328	95805:50	41823	21141
7f000001:2328	95805:51	3249	13457
7f000001:2328	95805:52	30462	190
7f000001:2328	95805:53	60372	9828
7f000001:2328	95805:54	29610	55029
7f000001:2328	95805:55	6685	11182
7f000001:2328	95805:56	17302	10585
7f000001:2328	95805:57	13963	9103
7f000001:2328	95805:58	61934	54841
7f000001:2328	95805:59	898	12999
7f000001:2328	95805:60	86184	15215
7f000001:2328	95805:61	6732	10227
7f000001:2328	95805:62	6894	33471
7f000001:2328	95805:63	24853	1586
7f000001:2328	95805:64	45518	8209
7f000001:2328	95805:65	14625	9770
7f000001:2328	95805:66	18849	19170
7f000001:2328	95805:67	11421	6694
7f000001:2328	95805:68	226056	4372
7f000001:2328	95805:69	54211	14438
7f000001:2328	95805:70	76754	2720
7f000001:2328	95805:71	22169	5029
7f000001:2328	95805:72	17749	3683
7f000001:2328	95805:73	156669	25873
7f000001:2328	95805:74	44495	14580
7f000001:2328	95805:75	33596	9113
7f000001:2328	95805:76	17357	9879
7f000001:2328	95805:77	26253	11217
7f000001:2328	95805:78	19423	8697
7f000001:2328	95805:79	5749	26117
7f000001:2328	95805:80	26326	203
7f000001:2328	95805:81	21631	15379
7f000001:2328	95805:82	10644	40848
7f000001:2328	95805:83	122029	66981
7f000001:2328	95805:84	79102	5309
7f000001:2328	95805:85	35659	4393
7f000001:2328	95805:86	102510	33462
7f000001:2328	95805:87	208896	8439
7f000001:2328	95805:88	49498	22453
7f000001:2328	95805:89	111482	2622
7f000001:2328	95805:90	56973	113721
7f000001:2328	95805:91	185807	2792
7f000001:2328	95805:92	23033	825
7f000001:2328	95805:93	39140	3840
7f000001:2328	95805:94	35187	3394
7f000001:2328	95805:95	78756	5757
7f000001:2328	95805:96	12201	8237
7f000001:2328	95805:97	68408	10698
7f000001:2328	95805:98	157833	17114
7f000001:2328	95805:99	30062	20283
7f000001:2328	95805:100	138388	13572
7f000001:2328	95805:101	30819	1785
7f000001:2328	95805:102	69984	3280
7f000001:2328	95805:103	42417	18641
7f000001:2328	95805:104	21096	9859
7f000001:2328	95805:105	12557	33830
7f000001:2328	95805:106	32852	20962
7f000001:2328	95805:107	35573	1173
7f000001:2328	95805:108	49746	22447
7f000001:2328	95805:109	8247	32377
7f000001:2328	95805:110	11995	1014
7f000001:2328	95805:111	30768	26799
7f000001:2328	95805:112	165848	15340
7f000001:2328	95805:113	2172	20772
7f000001:2328	95805:114	24006	13807
7f000001:2328	95805:115	22869	9586
7f000001:2328	95805:116	93484	37440
7f000001:2328	95805:117	123015	16114
7f000001:2328	95805:118	2688	26408
7f000001:2328	95805:119	15106	19126
7f000001:2328	95805:120	1172	12640
7f000001:2328	95805:121	50576	42288
7f000001:2328	95805:122	20521	43048
7f000001:2328	95805:123	164706	12007
7f000001:2328	95805:124	32745	43557
7f000001:2328	95805:125	1265	752
7f000001:2328	95805:126	32771	15884
7f000001:2328	95805:127	25998	15722
7f000001:2328	95805:128	54645	17522
7f000001:2328	95805:129	48510	2776
7f000001:2328	95805:130	74508	32770
7f000001:2328	95805:131	177108	11347
7f000001:2328	95805:132	4616	11668
7f000001:2328	95805:133	200293	69453
7f000001:2328	95805:134	25922	8026
7f000001:2328	95805:135	233919	31880
7f000001:2328	95805:136	23408	7335
7f000001:2328	95805:137	3687	53034
7f000001:2328	95805:138	49492	51107
7f000001:2328	95805:139	67994	38015
7f000001:2328	95805:140	7928	12897
7f000001:2328	95805:141	2913	7016
7f000001:2328	95805:142	14402	11189
7f000001:2328	95805:143	65672	25605
7f000001:2328	95805:144	13881	11206
7f000001:2328	95805:145	78246	19601
7f000001:2328	95805:146	33997	32297
7f000001:2328	95805:147	83344	6260
7f000001:2328	95805:148	12119	21466
7f000001:2328	95805:149	13218	9571
7f000001:2328	95805:150	13866	19536
7f000001:2328	95805:151	6384	18529
7f000001:2328	95805:152	23142	2672
7f000001:2328	95805:153	38213	9842
7f000001:2328	95805:154	24965	53868
7f000001:2328	95805:155	1418	2044
7f000001:2328	95805:156	15345	23783
7f000001:2328	95805:157	93536	14912
7f000001:2328	95805:158	396	31297
7f000001:2328	95805:159	24197	2773
7f000001:2328	95805:160	8548	9791
7f000001:2328	95805:161	1929	6357
7f000001:2328	95805:162	57593	4438
7f000001:2328	95805:163	2619	24146
7f000001:2328	95805:164	71253	2009
7f000001:2328	95805:165	102550	15948
7f000001:2328	95805:166	35335	29252
7f000001:2328	95805:167	219670	6819
7f000001:2328	95805:168	65523	6767
7f000001:2328	95805:169	37662	21856
7f000001:2328	95805:170	12099	10281
7f000001:2328	95805:171	44013	18403
7f000001:2328	95805:172	15889	22764
7f000001:2328	95805:173	21484	13343
7f000001:2328	95805:174	35212	8256
7f000001:2328	95805:175	63666	30005
7f000001:2328	95805:176	104771	11484
7f000001:2328	95805:177	28379	7611
7f000001:2328	95805:178	7782	11608
7f000001:2328	95805:179	69681	63365
7f000001:2328	95805:180	88020	19773
7f000001:2328	95805:181	36367	102
7f000001:2328	95805:182	138819	15952
7f000001:2328	95805:183	11017	27223
7f000001:2328	95805:184	22532	11846
7f000001:2328	95805:185	8066	3052
7f000001:2328	95805:186	19155	52487
7f000001:2328	95805:187	69606	23546
7f000001:2328	95805:188	65227	8274
7f000001:2328	95805:189	30965	16964
7f000001:2328	95805:190	51695	4931
7f000001:2328	95805:191	67256	21708
7f000001:2328	95805:192	10506	3936
7f000001:2328	95805:193	85469	8816
7f000001:2328	95805:194	94657	55823
7f000001:2328	95805:195	108430	8942
7f000001:2328	95805:196	20014	6194
7f000001:2328	95805:197	41169	29930
7f000001:2328	95805:198	82432	37803
7f000001:2328	95805:199	23000	1337
7f000001:2328	95805:200	11302	7955
7f000001:2328	95805:201	57009	31349
7f000001:2328	95805:202	48878	29580
7f000001:2328	95805:203	15677	19362
7f000001:2328	95805:204	84714	549
7f000001:2328	95805:205	24928	8909
7f000001:2328	95805:206	106147	17684
7f000001:2328	95805:207	15651	7763
7f000001:2328	95805:208	170056	26298
7f000001:2328	95805:209	25381	12884
7f000001:2328	95805:210	6694	1403
7f000001:2328	95805:211	11207	36591
7f000001:2328	95805:212	69829	7510
7f000001:2328	95805:213	481	295
7f000001:2328	95805:214	12216	6201
7f000001:2328	95805:215	46940	48014
7f000001:2328	95805:216	26718	11923
7f000001:2328	95805:217	75822	1443
7f000001:2328	95805:218	161056	5303
7f000001:2328	95805:219	97286	16665
7f000001:2328	95805:220	11111	738
7f000001:2328	95805:221	37959	14813
7f000001:2328	95805:222	34128	3139
7f000001:2328	95805:223	106405	47628
7f000001:2328	95805:224	70403	31527
7f000001:2328	95805:225	36665	6826
7f000001:2328	95805:226	12436	1434
7f000001:2328	95805:227	234694	4469
7f000001:2328	95805:228	125417	42172
7f000001:2328	95805:229	41523	34531
7f000001:2328	95805:230	8009	24923
7f000001:2328	95805:231	15915	58348
7f000001:2328	95805:232	10165	76109
7f000001:2328	95805:233	3738	60378
7f000001:2328	95805:234	113160	32351
7f000001:2328	95805:235	74444	72196
7f000001:2328	95805:236	14740	9916
7f000001:2328	95805:237	9503	3019
7f000001:2328	95805:238	31300	41022
7f000001:2328	95805:239	71989	2572
7f000001:2328	95805:240	10707	42495
7f000001:2328	95805:241	14030	9394
7f000001:2328	95805:242	70997	7606
7f000001:2328	95805:243	13021	14125
7f000001:2328	95805:244	5581	7213
7f000001:2328	95805:245	313928	12643
7f000001:2328	95805:246	12419	19883
7f000001:2328	95805:247	76704	14991
7f000001:2328	95805:248	57603	7422
7f000001:2328	95805:249	49616	10556
7f000001:2328	95805:250	113961	18404
7f000001:2328	95805:251	29138	33752
7f000001:2328	95805:252	27798	69447
7f000001:2328	95805:253	14542	24745
7f000001:2328	95805:254	41	32565
7f000001:2328	95805:255	14230	39990
7f000001:2328	95805:256	20441	1752
7f000001:2328	95805:257	24636	28021
7f000001:2328	95805:258	132195	7672
7f000001:2328	95805:259	97051	5891
7f000001:2328	95805:260	39766	32730
7f000001:2328	95805:261	27379	27326
7f000001:2328	95805:262	45465	849
7f000001:2328	95805:263	51801	34335
7f000001:2328	95805:264	65291	4905
7f000001:2328	95805:265	48952	4411
