7f000001:881f	5597:0	587910606	589661649	1	8008
7f000001:881f	5597:1	590289101	592244868	1	10980
7f000001:881f	5597:2	591705324	593238222	4	75102
7f000001:881f	5597:3	591717682	593557699	4	72262
7f000001:881f	5597:4	591719819	593876222	3	32416
7f000001:881f	5597:5	592157626	594269633	3	60510
7f000001:881f	5597:6	593093177	595235006	3	47527
7f000001:881f	5597:7	593760125	595729186	4	76743
7f000001:881f	5597:8	594113861	596344533	4	62768
7f000001:881f	5597:9	594658021	596779236	5	82784
7f000001:881f	5597:10	595006189	597126722	5	73117
7f000001:881f	5597:11	595723130	597425375	4	68178
7f000001:881f	5597:12	595735875	597860353	4	88946
7f000001:881f	5597:13	596042085	598262213	4	140021
7f000001:881f	5597:14	596716542	598814405	3	120197
7f000001:881f	5597:15	597145722	599055341	3	105225
7f000001:881f	5597:16	597666289	599349557	2	69834
7f000001:881f	5597:17	598785636	599645148	1	2555
7f000001:881f	5597:18	599601612	599891312	1	43900
7f000001:881f	5597:19	600041589	600823937	1	14562
7f000001:881f	5597:20	600783597	601041483	1	8571
7f000001:881f	5597:21	602601076	603547474	3	31819
7f000001:881f	5597:22	602615578	603832182	2	26555
7f000001:881f	5597:23	602617357	604130270	3	83992
7f000001:881f	5597:24	603601663	604407666	2	67300
7f000001:881f	5597:25	603606818	604600706	2	79874
7f000001:881f	5597:26	604175758	604952915	2	37444
7f000001:881f	5597:27	604461774	605119414	2	12306
7f000001:881f	5597:28	604946698	605339801	1	3708
7f000001:881f	5597:29	605349441	605619880	1	2443
7f000001:881f	5597:30	605626486	605911461	1	5836
7f000001:881f	5597:31	605905639	606045111	1	21969
7f000001:881f	5597:32	606257806	606418518	1	4379
7f000001:881f	5597:33	606591981	606740719	1	11383
7f000001:881f	5597:34	606897927	607070917	1	29405
7f000001:881f	5597:35	607367654	607718014	1	135886
7f000001:881f	5597:36	607599178	607845138	1	5325
7f000001:881f	5597:37	608032223	608312316	1	18475
7f000001:881f	5597:38	608318910	608617524	1	5031
7f000001:881f	5597:39	608613458	608816430	1	16572
7f000001:881f	5597:40	608908539	609105111	1	13008
7f000001:881f	5597:41	609285269	609477149	1	16182
7f000001:881f	5597:42	609564082	609977580	1	52090
7f000001:881f	5597:43	609983979	610100513	1	16449
7f000001:881f	5597:44	610294754	610402570	1	42829
7f000001:881f	5597:45	610697704	611155128	1	37708
7f000001:881f	5597:46	611161357	611333474	1	19364
7f000001:881f	5597:47	611413785	611585396	1	8741
7f000001:881f	5597:48	611858213	612161692	1	7174
7f000001:881f	5597:49	612401710	612583883	1	46500
7f000001:881f	5597:50	612802007	613036640	1	26887
7f000001:881f	5597:51	613236789	613431922	1	4221
7f000001:881f	5597:52	613522976	613874327	1	2817
7f000001:881f	5597:53	613879945	614173804	1	18134
7f000001:881f	5597:54	614167337	614517733	1	65509
7f000001:881f	5597:55	614524244	614663372	1	2853
7f000001:881f	5597:56	615098113	615400081	2	43631
7f000001:881f	5597:57	615110630	615681200	1	22925
7f000001:881f	5597:58	615435407	615969142	2	39872
7f000001:881f	5597:59	615677699	616202310	3	90923
7f000001:881f	5597:60	615965119	616465318	2	68977
7f000001:881f	5597:61	615967242	616879309	2	19429
7f000001:881f	5597:62	616238748	617077552	2	9385
7f000001:881f	5597:63	616496624	617255164	3	46989
7f000001:881f	5597:64	616909858	617444026	3	41661
7f000001:881f	5597:65	616928619	617639826	3	26250
